Parent;Minutes;week;date;time_start;time_end;duration;listed_title;top_category;listed_location;listed_project_officer;detail_category;notes;id
Trump;180;1;07.11.2018;1899-12-30 08:00:00;30.12.1899 11:00:00;30.12.1899 03:00:00;Executive time;executive_time;Oval office;;executive_time;;1
Trump;30;1;07.11.2018;1899-12-30 11:00:00;30.12.1899 11:30:00;30.12.1899 00:30:00;Meeting with the chief of staff;meeting;Oval office;;cos_meeting;;2
Trump;60;1;07.11.2018;1899-12-30 11:30:00;30.12.1899 12:30:00;30.12.1899 01:00:00;Executive time;executive_time;Oval office;;executive_time;;3
Trump;60;1;07.11.2018;1899-12-30 12:30:00;30.12.1899 13:30:00;30.12.1899 01:00:00;Lunch;lunch;Private dining room;;solo_lunch;;4
Trump;210;1;07.11.2018;1899-12-30 13:30:00;30.12.1899 17:00:00;30.12.1899 03:30:00;Executive time;executive_time;Oval office;;executive_time;;5
Trump;90;1;08.11.2018;1899-12-30 08:00:00;30.12.1899 09:30:00;30.12.1899 01:30:00;Executive time;executive_time;Oval office;;executive_time;;6
Trump;10;1;08.11.2018;1899-12-30 09:30:00;30.12.1899 09:40:00;30.12.1899 00:10:00;Depart the White House en route to Supreme Court of the United States;travel;;;domestic_travel;;7
Trump;10;1;08.11.2018;1899-12-30 09:45:00;30.12.1899 09:55:00;30.12.1899 00:10:00;Meet and greet with the supreme court justices;event;Washington, DC;Emmet Flood;meet_greet;;8
Trump;15;1;08.11.2018;1899-12-30 10:00:00;30.12.1899 10:15:00;30.12.1899 00:15:00;Investiture of the honorable Brett Kavanaugh;event;Washington, DC;Emmet Flood;kavanaugh_investiture;;9
Trump;10;1;08.11.2018;1899-12-30 10:20:00;30.12.1899 10:30:00;30.12.1899 00:10:00;Depart Supreme Court of the United States en route The White House;travel;;;domestic_travel;;10
Trump;30;1;08.11.2018;1899-12-30 11:00:00;30.12.1899 11:30:00;30.12.1899 00:30:00;Meeting with the secretary of state;meeting;Oval office;Ambassador John Bolton;sec_state_meeting;;11
Trump;60;1;08.11.2018;1899-12-30 11:30:00;30.12.1899 12:30:00;30.12.1899 01:00:00;Executive time;executive_time;Oval office;;executive_time;;12
Trump;60;1;08.11.2018;1899-12-30 12:30:00;30.12.1899 13:30:00;30.12.1899 01:00:00;Lunch;lunch;Private dining room;;solo_lunch;;13
Trump;30;1;08.11.2018;1899-12-30 13:30:00;30.12.1899 14:00:00;30.12.1899 00:30:00;Executive time;executive_time;Oval office;;executive_time;;14
Trump;60;1;08.11.2018;1899-12-30 14:00:00;30.12.1899 15:00:00;30.12.1899 01:00:00;Policy time;meeting;Oval office;Christopher Liddell;policy_time;;15
Trump;15;1;08.11.2018;1899-12-30 15:00:00;30.12.1899 15:15:00;30.12.1899 00:15:00;Executive time;executive_time;Oval office;;executive_time;;16
Trump;15;1;08.11.2018;1899-12-30 15:15:00;30.12.1899 15:30:00;30.12.1899 00:15:00;Meeting with presidential personnel;meeting;Oval office;Ambassador John Bolton;personnel_meeting;;17
Trump;75;1;08.11.2018;1899-12-30 15:30:00;30.12.1899 16:45:00;30.12.1899 01:15:00;Executive time;executive_time;Oval office;;executive_time;;18
Trump;15;1;08.11.2018;1899-12-30 16:45:00;30.12.1899 17:00:00;30.12.1899 00:15:00;Video recording session;meeting;Oval office;Mercedes Schlapp;video_recording_session;;19
Trump;10;1;09.11.2018;1899-12-30 09:00:00;30.12.1899 09:10:00;30.12.1899 00:10:00;Depart the White House en route Joint Base Andrews;travel;;;international_travel;;20
Trump;10;1;09.11.2018;1899-12-30 09:10:00;30.12.1899 09:20:00;30.12.1899 00:10:00;Arrive Joint Base Andrews;travel;;;international_travel;;21
Trump;390;1;09.11.2018;1899-12-30 09:20:00;30.12.1899 15:50:00;30.12.1899 06:30:00;Depart Washington, DC en route Orly, France;travel;;;international_travel;;22
Trump;10;1;09.11.2018;1899-12-30 15:50:00;30.12.1899 16:00:00;30.12.1899 00:10:00;Arrive Paris Orly Airport;travel;;;international_travel;;23
Trump;25;1;09.11.2018;1899-12-30 16:00:00;30.12.1899 16:25:00;30.12.1899 00:25:00;Depart Orly, France en route Paris, France;travel;;;international_travel;;24
Trump;35;1;09.11.2018;1899-12-30 16:25:00;30.12.1899 17:00:00;30.12.1899 00:35:00;Arrive Ambassador's Residence;travel;;;international_travel;;25
Trump;180;2;13.11.2018;1899-12-30 08:00:00;30.12.1899 11:00:00;30.12.1899 03:00:00;Executive time;executive_time;Oval office;;executive_time;;27
Trump;30;2;13.11.2018;1899-12-30 11:00:00;30.12.1899 11:30:00;30.12.1899 00:30:00;Meeting with the chief of staff;meeting;oval office;;cos_meeting;;28
Trump;30;2;13.11.2018;1899-12-30 11:30:00;30.12.1899 12:00:00;30.12.1899 00:30:00;Intelligence briefing;meeting;Oval office;Ambassador John Bolton;intel_briefing;;29
Trump;15;2;13.11.2018;1899-12-30 12:00:00;30.12.1899 12:15:00;30.12.1899 00:15:00;Meeting with the press secretary;meeting;Oval office;Sarah Sanders;press_sec_meeting;;30
Trump;15;2;13.11.2018;1899-12-30 12:15:00;30.12.1899 12:30:00;30.12.1899 00:15:00;Executive time;executive_time;Oval office;;executive_time;;31
Trump;60;2;13.11.2018;1899-12-30 12:30:00;30.12.1899 13:30:00;30.12.1899 01:00:00;Lunch;lunch;Private dining room;;solo_lunch;;32
Trump;15;2;13.11.2018;1899-12-30 13:30:00;30.12.1899 13:45:00;30.12.1899 00:15:00;Executive time;executive_time;Oval office;;executive_time;;33
Trump;15;2;13.11.2018;1899-12-30 13:45:00;30.12.1899 14:00:00;30.12.1899 00:15:00;Diwali ceremonial lighting of the Diya;event;Roosevelt Room;Justin Clark;holiday_ceremony;The First Lady will travel;34
Trump;15;2;13.11.2018;1899-12-30 14:00:00;30.12.1899 14:15:00;30.12.1899 00:15:00;Executive time;executive_time;Oval office;;executive_time;;35
Trump;45;2;13.11.2018;1899-12-30 14:15:00;30.12.1899 15:00:00;30.12.1899 00:45:00;Policy time;meeting;Oval office;Shahira Knight;policy_time;;36
Trump;15;2;13.11.2018;1899-12-30 15:00:00;30.12.1899 15:15:00;30.12.1899 00:15:00;Executive time;executive_time;Oval office;;executive_time;;37
Trump;45;2;13.11.2018;1899-12-30 15:15:00;30.12.1899 16:00:00;30.12.1899 00:45:00;Policy time;meeting;Oval office;Christopher Liddell;policy_time;;38
Trump;60;2;13.11.2018;1899-12-30 16:00:00;30.12.1899 17:00:00;30.12.1899 01:00:00;Executive time;executive_time;Oval office;;executive_time;;39
Trump;180;2;14.11.2018;1899-12-30 08:00:00;30.12.1899 11:00:00;30.12.1899 03:00:00;Executive time;executive_time;Oval office;;executive_time;;40
Trump;30;2;14.11.2018;1899-12-30 11:00:00;30.12.1899 11:30:00;30.12.1899 00:30:00;Meeting with the chief of staff;meeting;Oval office;;cos_meeting;;41
Trump;30;2;14.11.2018;1899-12-30 11:30:00;30.12.1899 12:00:00;30.12.1899 00:30:00;Intelligence briefing;meeting;Oval office;Ambassador John Bolton;intel_briefing;;42
Trump;15;2;14.11.2018;1899-12-30 12:00:00;30.12.1899 12:15:00;30.12.1899 00:15:00;Executive time;executive_time;Oval office;;executive_time;;43
Trump;5;2;14.11.2018;1899-12-30 12:15:00;30.12.1899 12:20:00;30.12.1899 00:05:00;Medal of Honor notification phone call;event;Oval office;White House military office;phone_call;;44
Trump;10;2;14.11.2018;1899-12-30 12:20:00;30.12.1899 12:30:00;30.12.1899 00:10:00;Executive time;executive_time;Oval office;;executive_time;;45
Trump;60;2;14.11.2018;1899-12-30 12:30:00;30.12.1899 13:30:00;30.12.1899 01:00:00;Lunch with the secretary of state;lunch;Private dining room;William McGinley;sec_state_lunch;;46
Trump;30;2;14.11.2018;1899-12-30 13:30:00;30.12.1899 14:00:00;30.12.1899 00:30:00;Executive time;executive_time;Oval office;;executive_time;;47
Trump;30;2;14.11.2018;1899-12-30 14:00:00;30.12.1899 14:30:00;30.12.1899 00:30:00;Policy time;meeting;Oval office;Larry Kudlow;policy_time;;48
Trump;60;2;14.11.2018;1899-12-30 14:30:00;30.12.1899 15:30:00;30.12.1899 01:00:00;Executive time;executive_time;Oval office;;executive_time;;49
Trump;15;2;14.11.2018;1899-12-30 15:30:00;30.12.1899 15:45:00;30.12.1899 00:15:00;Meeting with stakeholders on the first step act;meeting;Roosevelt Room;Jared Kushner;stakeholders_meeting;;50
Trump;105;2;14.11.2018;1899-12-30 15:45:00;30.12.1899 17:30:00;30.12.1899 01:45:00;Executive time;executive_time;Oval office;;executive_time;;51
Trump;15;2;14.11.2018;1899-12-30 17:30:00;30.12.1899 17:45:00;30.12.1899 00:15:00;Photo opportunitiy with the fall 2018 White House internship program class;event;East Room;Office of Presidential Scheduling;photo_opportunity;;52
Trump;220;2;15.11.2018;1899-12-30 08:00:00;30.12.1899 11:40:00;30.12.1899 03:40:00;Executive time;executive_time;Oval office;;executive_time;;53
Trump;15;2;15.11.2018;1899-12-30 11:40:00;30.12.1899 11:55:00;30.12.1899 00:15:00;Depart the White House en route Marine Barracks Washington, DC;travel;;;domestic_travel;;54
Trump;5;2;15.11.2018;1899-12-30 11:55:00;30.12.1899 12:00:00;30.12.1899 00:05:00;Arrive Marine Barracks Washington, DC;travel;;;domestic_travel;;55
Trump;60;2;15.11.2018;1899-12-30 12:00:00;30.12.1899 13:00:00;30.12.1899 01:00:00;Visit to Marine Barracks Washington, DC;travel;Washington, DC;Lindsay Reynolds;marine_barracks_visit;;56
Trump;15;2;15.11.2018;1899-12-30 13:05:00;30.12.1899 13:20:00;30.12.1899 00:15:00;Depart Marine Barracks Washington, DC en route the White House;travel;;;domestic_travel;;57
Trump;5;2;15.11.2018;1899-12-30 13:20:00;30.12.1899 13:25:00;30.12.1899 00:05:00;Arrive at the White House;travel;;;domestic_travel;;58
Trump;5;2;15.11.2018;1899-12-30 13:25:00;30.12.1899 13:30:00;30.12.1899 00:05:00;Executive time;executive_time;Oval Office;;executive_time;;59
Trump;15;2;15.11.2018;1899-12-30 13:30:00;30.12.1899 13:45:00;30.12.1899 00:15:00;Remarks on supporting veterans and military families;event;EEOB - South Court Auditorium;Douglas Hoelscher;veterans_remarks;;60
Trump;60;2;15.11.2018;1899-12-30 13:45:00;30.12.1899 14:45:00;30.12.1899 01:00:00;Executive time;executive_time;Oval Office;;executive_time;;61
Trump;60;2;15.11.2018;1899-12-30 14:45:00;30.12.1899 15:45:00;30.12.1899 01:00:00;Meeting with Senate Republican Leadership;meeting;Oval Office;Shahira Knight;senate_gop_meeting;;62
Trump;15;2;15.11.2018;1899-12-30 15:45:00;30.12.1899 16:00:00;30.12.1899 00:15:00;Executive time;executive_time;Oval Office;;executive_time;;63
Trump;30;2;15.11.2018;1899-12-30 16:00:00;30.12.1899 16:30:00;30.12.1899 00:30:00;Meeting with presidential personnel;meeting;Oval Office;John DeStefano;personnel_meeting;;64
Trump;30;2;15.11.2018;1899-12-30 16:30:00;30.12.1899 17:00:00;30.12.1899 00:30:00;Executive time;executive_time;Oval Office;;executive_time;;65
Trump;180;3;19.11.2018;1899-12-30 08:00:00;30.12.1899 11:00:00;30.12.1899 03:00:00;Executive time;executive_time;Oval Office;;executive_time;;67
Trump;30;3;19.11.2018;1899-12-30 11:00:00;30.12.1899 11:30:00;30.12.1899 00:30:00;Meeting with the chief of staff;meeting;Oval Office;;cos_meeting;The first lady will travel;68
Trump;90;3;19.11.2018;1899-12-30 11:30:00;30.12.1899 13:00:00;30.12.1899 01:30:00;Executive time;executive_time;Oval Office;;executive_time;;69
Trump;15;3;19.11.2018;1899-12-30 13:00:00;30.12.1899 13:15:00;30.12.1899 00:15:00;White House Christmas tree delivery;event;North Portico;Lindsay Reynolds;christmas_tree_delivery;;70
Trump;60;3;19.11.2018;1899-12-30 13:30:00;30.12.1899 14:30:00;30.12.1899 01:00:00;Lunch with vice president;lunch;Private dining room;Nick Ayers;VP_lunch;;71
Trump;15;3;19.11.2018;1899-12-30 14:30:00;30.12.1899 14:45:00;30.12.1899 00:15:00;Executive time;executive_time;Oval Office;;executive_time;;72
Trump;45;3;19.11.2018;1899-12-30 14:45:00;30.12.1899 15:30:00;30.12.1899 00:45:00;Policy time;meeting;Oval Office;Director Mick Mulvaney;policy_time;;73
Trump;45;3;19.11.2018;1899-12-30 15:45:00;30.12.1899 16:30:00;30.12.1899 00:45:00;Policy time;meeting;Oval Office;Larry Kudlow;policy_time;;74
Trump;30;3;19.11.2018;1899-12-30 16:30:00;30.12.1899 17:00:00;30.12.1899 00:30:00;Executive time;executive_time;Oval Office;;executive_time;;75
Trump;540;3;23.11.2018;1899-12-30 08:00:00;30.12.1899 17:00:00;30.12.1899 09:00:00;Executive time;executive_time;Mar-a-Lago;;executive_time;;79
Trump;180;4;26.11.2018;1899-12-30 08:00:00;30.12.1899 11:00:00;30.12.1899 03:00:00;Executive time;executive_time;Oval Office;;executive_time;;80
Trump;30;4;26.11.2018;1899-12-30 11:00:00;30.12.1899 11:30:00;30.12.1899 00:30:00;Meeting with the chief of staff;meeting;Oval Office;;cos_meeting;;81
Trump;30;4;26.11.2018;1899-12-30 11:30:00;30.12.1899 12:00:00;30.12.1899 00:30:00;Intelligence briefing;meeting;Oval Office;Ambassador John Bolton;intel_briefing;;82
Trump;15;4;26.11.2018;1899-12-30 12:00:00;30.12.1899 12:15:00;30.12.1899 00:15:00;Meeting with the press secretary;meeting;Oval Office;Sarah Sanders;press_sec_meeting;;83
Trump;15;4;26.11.2018;1899-12-30 12:15:00;30.12.1899 12:30:00;30.12.1899 00:15:00;Executive time;executive_time;Oval Office;;executive_time;;84
Trump;60;4;26.11.2018;1899-12-30 12:30:00;30.12.1899 13:30:00;30.12.1899 01:00:00;Lunch with the vice president;lunch;Private dining room;Nick Ayers;VP_lunch;;85
Trump;65;4;26.11.2018;1899-12-30 13:30:00;30.12.1899 14:35:00;30.12.1899 01:05:00;Executive time;executive_time;Oval Office;;executive_time;;86
Trump;10;4;26.11.2018;1899-12-30 14:35:00;30.12.1899 14:45:00;30.12.1899 00:10:00;Depart the White House en route Joint Base Andrews;travel;;;domestic_travel;The First Lady will participate;87
Trump;10;4;26.11.2018;1899-12-30 14:45:00;30.12.1899 14:55:00;30.12.1899 00:10:00;Arrive Joint Base Andrews;travel;;;domestic_travel;;88
Trump;130;4;26.11.2018;1899-12-30 14:55:00;30.12.1899 17:05:00;30.12.1899 02:10:00;Depart Washington, DC en route Tupelo, MS;travel;;;domestic_travel;;89
Trump;10;4;26.11.2018;1899-12-30 17:05:00;30.12.1899 17:15:00;30.12.1899 00:10:00;Arrive Tupelo Regional Airport;travel;;;domestic_travel;;90
Trump;60;4;26.11.2018;1899-12-30 17:15:00;30.12.1899 18:15:00;30.12.1899 01:00:00;Remarks at Make America Great Again rally;event;Tupelo, MS;Bill Stepien;MAGA_rally;;91
Trump;5;4;26.11.2018;1899-12-30 18:20:00;30.12.1899 18:25:00;30.12.1899 00:05:00;Hold for media interview;event;Tupelo, MS;Sarah Sanders;media_interview;;92
Trump;5;4;26.11.2018;1899-12-30 18:25:00;30.12.1899 18:30:00;30.12.1899 00:05:00;Photo opportunity with law enforcement;event;Tupelo, MS;Bobby Peede;photo_opportunity;;93
Trump;60;4;26.11.2018;1899-12-30 18:40:00;30.12.1899 19:40:00;30.12.1899 01:00:00;Depart Tupelo, MS en route Gulfport, MS;travel;;;domestic_travel;;94
Trump;10;4;26.11.2018;1899-12-30 19:40:00;30.12.1899 19:50:00;30.12.1899 00:10:00;Arrive Gulfport - Biloxi International Airport;travel;;;;;95
Trump;35;4;26.11.2018;1899-12-30 19:50:00;30.12.1899 20:25:00;30.12.1899 00:35:00;First Step Act roundtable with governor phil bryant and law enforcement leaders;event;Gulfport, MS;Jared Kushner;crim_justice_roundtable;;96
Trump;15;4;26.11.2018;1899-12-30 20:25:00;30.12.1899 20:40:00;30.12.1899 00:15:00;Depart Gulfport, MS en route Biloxi, MS;travel;;;domestic_travel;;97
Trump;5;4;26.11.2018;1899-12-30 20:40:00;30.12.1899 20:45:00;30.12.1899 00:05:00;Arrive Mississippi Coast Coliseum;travel;;;;;98
Trump;5;4;26.11.2018;1899-12-30 20:45:00;30.12.1899 20:50:00;30.12.1899 00:05:00;Hold for media interview;event;Biloxi, MS;Sarah Sanders;media_interview;;99
Trump;5;4;26.11.2018;1899-12-30 20:50:00;30.12.1899 20:55:00;30.12.1899 00:05:00;Photo opportunity with law enforcement;event;Biloxi, MS;Bobby Peede;photo_opportunity;;100
Trump;60;4;26.11.2018;1899-12-30 21:00:00;30.12.1899 22:00:00;30.12.1899 01:00:00;Remarks at Make America Great Again rally;event;Biloxi, MS;Bill Stepien;MAGA_rally;;101
Trump;15;4;26.11.2018;1899-12-30 22:05:00;30.12.1899 22:20:00;30.12.1899 00:15:00;Depart Biloxi, MS en route Gulforpot, MS;travel;;;domestic_travel;Air Force One is a C-32;102
Trump;10;4;26.11.2018;1899-12-30 22:20:00;30.12.1899 22:30:00;30.12.1899 00:10:00;Arrive Gulfport - Biloxi International Airport;travel;;;;;103
Trump;740;4;26.11.2018;1899-12-30 22:30:00;30.12.1899 00:40:00;26.12.1899 12:20:53;Depart Gulfport, MS en route Washington, DC;travel;;;domestic_travel;;104
Trump;180;4;27.11.2018;1899-12-30 08:00:00;30.12.1899 11:00:00;30.12.1899 03:00:00;Executive time;executive_time;Oval Office;;executive_time;;105
Trump;30;4;27.11.2018;1899-12-30 11:00:00;30.12.1899 11:30:00;30.12.1899 00:30:00;Media engagement;event;Oval Office;Sarah Sanders;media_engagement;;106
Trump;75;4;27.11.2018;1899-12-30 11:30:00;30.12.1899 12:45:00;30.12.1899 01:15:00;Executive time;executive_time;Oval Office;;executive_time;;107
Trump;60;4;27.11.2018;1899-12-30 12:45:00;30.12.1899 13:45:00;30.12.1899 01:00:00;Lunch with secretray of state and secretary of defense;meeting;Private dining room;William McGinley;sec_state_def_lunch;;108
Trump;45;4;27.11.2018;1899-12-30 13:45:00;30.12.1899 14:30:00;30.12.1899 00:45:00;Executive time;executive_time;Oval Office;;executive_time;;109
Trump;45;4;27.11.2018;1899-12-30 14:30:00;30.12.1899 15:15:00;30.12.1899 00:45:00;Meeting with House Republican Leadership;meeting;Oval Office;Shahira Knight;house_gop_meeting;;110
Trump;30;4;27.11.2018;1899-12-30 15:15:00;30.12.1899 15:45:00;30.12.1899 00:30:00;Executive time;executive_time;Oval Office;;executive_time;;111
Trump;15;4;27.11.2018;1899-12-30 15:45:00;30.12.1899 16:00:00;30.12.1899 00:15:00;Remarks at Christmas reception;event;Grand Foyer;Lindsay Reynolds;christmas_reception_remarks;;112
Trump;60;4;27.11.2018;1899-12-30 16:00:00;30.12.1899 17:00:00;30.12.1899 01:00:00;Executive time;executive_time;Oval Office;;executive_time;;113
Trump;30;4;27.11.2018;1899-12-30 17:00:00;30.12.1899 17:30:00;30.12.1899 00:30:00;Media engagement;event;Oval Office;Sarah Sanders;media_engagement;;114
Trump;120;4;27.11.2018;1899-12-30 17:30:00;30.12.1899 19:30:00;30.12.1899 02:00:00;Executive time;executive_time;Oval Office;;executive_time;;115
Trump;75;4;27.11.2018;1899-12-30 19:30:00;30.12.1899 20:45:00;30.12.1899 01:15:00;Photos at United States secret service christmas reception;event;Diplomatic reception room;Lindsay Reynolds;Photo_opportunity;;116
Trump;120;4;28.11.2018;1899-12-30 08:00:00;30.12.1899 10:00:00;30.12.1899 02:00:00;Executive time;executive_time;Oval Office;;executive_time;;117
Trump;30;4;28.11.2018;1899-12-30 10:00:00;30.12.1899 10:30:00;30.12.1899 00:30:00;Meeting with chief of staff;meeting;Oval Office;;cos_meeting;;118
Trump;15;4;28.11.2018;1899-12-30 10:30:00;30.12.1899 10:45:00;30.12.1899 00:15:00;Executive time;executive_time;Oval Office;;executive_time;;119
